GameNo,Date,MatchResult,ChampionName,Lane,Kills,Deaths,Assists,Damage,CS,Gold
1,2021-05-23 04:12:01,Lost,Brand,MID,8,8,8,29216,125,14666
2,2021-05-22 02:21:04,Won,Katarina,MID,11,5,6,22459,186,13659
3,2021-05-22 01:43:16,Won,Brand,MID,11,7,20,47673,44,13220
4,2021-05-22 01:07:24,Won,Katarina,MID,5,1,4,9586,157,8884
5,2021-05-21 01:24:20,Won,Talon,MID,8,5,5,16006,122,10089
6,2021-05-21 00:54:52,Won,Katarina,MID,5,1,1,6392,118,7551
8,2021-05-20 23:52:29,Won,Yasuo,NONE,2,2,1,3729,92,6022
9,2021-05-20 02:46:45,Won,Katarina,MID,9,1,9,16330,120,10134
10,2021-05-19 04:12:44,Lost,Yasuo,MID,7,9,6,14602,205,13665
